,企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态
350556,E301,5217206,2017/3/27,C11827,2580.71,154.84,2735.55,有效发票
350557,E301,50213768,2017/4/18,C31130,311.32,18.68,330.0,有效发票
350558,E301,10574337,2017/6/20,C15625,122.22,20.78,143.0,有效发票
350559,E301,1387227,2017/6/22,C15625,153.85,26.15,180.0,有效发票
350560,E301,6340,2017/6/23,C21610,384.47,11.53,396.0,有效发票
350561,E301,5612004,2017/6/24,C17029,194.17,5.83,200.0,有效发票
350562,E301,1488916,2017/6/25,C03805,229.13,6.87,236.0,有效发票
350563,E301,5754570,2017/6/25,C03812,113.59,3.41,117.0,有效发票
350564,E301,1350918,2017/6/26,C20997,410.68,12.32,423.0,有效发票
350565,E301,1350922,2017/6/26,C20997,730.1,21.9,752.0,有效发票
350566,E301,16349181,2017/6/28,C22911,140.78,4.22,145.0,有效发票
350567,E301,1193282,2017/6/30,C12720,2203.42,374.58,2578.0,有效发票
350568,E301,4740364,2017/6/30,C13528,443.69,13.31,457.0,有效发票
350569,E301,7525795,2017/7/1,C16512,304.72,18.28,323.0,有效发票
350570,E301,7453095,2017/7/2,C22547,231.07,6.93,238.0,有效发票
350571,E301,35564054,2017/7/3,C02919,630.8,0.0,630.8,有效发票
350572,E301,5457,2017/7/3,C10391,368.93,11.07,380.0,有效发票
350573,E301,3427860,2017/7/3,C11842,452.83,27.17,480.0,有效发票
350574,E301,1060742,2017/7/4,C16544,132.04,3.96,136.0,有效发票
350575,E301,68182180,2017/7/6,C14175,49.06,2.94,52.0,有效发票
350576,E301,6388676,2017/7/6,C23113,5242.72,157.28,5400.0,有效发票
350577,E301,19992056,2017/7/7,C12624,942.45,56.55,999.0,有效发票
350578,E301,19992057,2017/7/7,C12624,430.19,25.81,456.0,有效发票
350579,E301,5655530,2017/7/7,C13823,325.47,19.53,345.0,有效发票
350580,E301,14161129,2017/7/9,C11641,154.37,4.63,159.0,有效发票
350581,E301,13388540,2017/7/11,C13349,9452.99,1607.01,11060.0,有效发票
350582,E301,13388541,2017/7/11,C13349,9452.99,1607.01,11060.0,有效发票
350583,E301,13388542,2017/7/11,C13349,4051.28,688.72,4740.0,有效发票
350584,E301,7169781,2017/7/12,C06725,273.5,46.5,320.0,有效发票
350585,E301,4228184,2017/7/12,C13186,128.21,21.79,150.0,有效发票
350586,E301,21051077,2017/7/12,C13725,91.26,2.74,94.0,有效发票
350587,E301,11627670,2017/7/12,C14783,200.56,34.09,234.65,有效发票
350588,E301,11627671,2017/7/12,C14783,224.91,38.24,263.15,有效发票
350589,E301,4003476,2017/7/12,C16119,33.02,1.98,35.0,有效发票
350590,E301,3789757,2017/7/12,C17653,214.56,6.44,221.0,有效发票
350591,E301,12356160,2017/7/13,C14578,108.74,3.26,112.0,有效发票
350592,E301,3789789,2017/7/13,C17653,194.17,5.83,200.0,有效发票
350593,E301,2085203,2017/7/13,C21023,1001.94,30.06,1032.0,有效发票
350594,E301,37472465,2017/7/14,C08218,92.45,5.55,98.0,有效发票
350595,E301,6020723,2017/7/14,C14493,1456.31,43.69,1500.0,有效发票
350596,E301,7470642,2017/7/14,C14578,95.24,4.76,100.0,有效发票
350597,E301,4204942,2017/7/14,C14578,579.61,17.39,597.0,有效发票
350598,E301,4823520,2017/7/14,C17386,515.53,15.47,531.0,有效发票
350599,E301,10677778,2017/7/15,C22413,159.22,4.78,164.0,有效发票
350600,E301,15287090,2017/7/16,C11733,269.9,8.1,278.0,有效发票
350601,E301,9879964,2017/7/17,C11842,424.53,25.47,450.0,作废发票
350602,E301,9879966,2017/7/17,C11842,452.83,27.17,480.0,有效发票
350603,E301,4923724,2017/7/17,C16081,850.49,25.51,876.0,有效发票
350604,E301,5427558,2017/7/18,C17386,85.44,2.56,88.0,有效发票
350605,E301,7071091,2017/7/19,C12004,792.45,47.55,840.0,有效发票
350606,E301,37698431,2017/7/20,C08218,83.96,5.04,89.0,有效发票
350607,E301,68194988,2017/7/20,C14175,30.19,1.81,32.0,有效发票
350608,E301,15769137,2017/7/20,C15116,73.79,2.21,76.0,有效发票
350609,E301,11972513,2017/7/21,C13284,145.63,4.37,150.0,有效发票
350610,E301,20744232,2017/7/21,C14271,992.23,29.77,1022.0,有效发票
350611,E301,6114128,2017/7/21,C14619,3027.36,181.64,3209.0,有效发票
