,企业代号,发票号码,开票日期,销方单位代号,金额,税额,价税合计,发票状态
205847,E84,4165508,2017/1/12,A06739,5982.91,1017.09,7000.0,有效发票
205848,E84,779405,2017/1/16,A07142,8968.05,1524.57,10492.62,有效发票
205849,E84,1296861,2017/1/17,A07142,8527.68,1449.7,9977.38,有效发票
205850,E84,6836557,2017/4/20,A07313,9230.77,1569.23,10800.0,有效发票
205851,E84,4726227,2017/4/25,A08135,85470.09,14529.91,100000.0,有效发票
205852,E84,6965820,2017/5/5,A06431,86969.44,14784.81,101754.25,有效发票
205853,E84,1025446,2017/6/12,A09234,85470.09,14529.91,100000.0,有效发票
205854,E84,3346336,2017/6/22,A09234,98290.6,16709.4,115000.0,有效发票
205855,E84,5942158,2017/8/23,A09234,85470.09,14529.91,100000.0,有效发票
205856,E84,4007570,2017/9/8,A00327,943.4,56.6,1000.0,有效发票
205857,E84,4007571,2017/9/8,A00327,6345.93,380.76,6726.69,有效发票
205858,E84,11587107,2017/9/8,A07012,3301.89,198.11,3500.0,有效发票
205859,E84,611941,2017/9/12,A07244,194700.85,33099.15,227800.0,有效发票
205860,E84,5663469,2017/9/12,A09273,6603.78,396.22,7000.0,有效发票
205861,E84,37687633,2017/12/4,A02274,169.81,10.19,180.0,有效发票
205862,E84,37732964,2017/12/8,A03624,264.15,15.85,280.0,有效发票
205863,E84,341326,2018/2/8,A02569,85470.09,14529.91,100000.0,有效发票
205864,E84,2429743,2018/2/8,A07313,9829.06,1670.94,11500.0,有效发票
205865,E84,2429744,2018/2/8,A07313,9829.06,1670.94,11500.0,有效发票
205866,E84,2429745,2018/2/8,A07313,9829.06,1670.94,11500.0,有效发票
205867,E84,2429746,2018/2/8,A07313,9829.06,1670.94,11500.0,有效发票
205868,E84,2429747,2018/2/8,A07313,9829.06,1670.94,11500.0,有效发票
205869,E84,2429748,2018/2/8,A07313,9829.06,1670.94,11500.0,有效发票
205870,E84,2429749,2018/2/8,A07313,9829.06,1670.94,11500.0,有效发票
205871,E84,2429750,2018/2/8,A07313,9829.06,1670.94,11500.0,有效发票
205872,E84,2429751,2018/2/8,A07313,6837.61,1162.39,8000.0,有效发票
205873,E84,1055418,2018/8/8,A07313,8620.69,1379.31,10000.0,有效发票
205874,E84,1055419,2018/8/8,A07313,8620.69,1379.31,10000.0,有效发票
205875,E84,1055420,2018/8/8,A07313,8620.69,1379.31,10000.0,有效发票
205876,E84,1055421,2018/8/8,A07313,8620.69,1379.31,10000.0,有效发票
205877,E84,1055422,2018/8/8,A07313,8620.69,1379.31,10000.0,有效发票
205878,E84,3688750,2018/8/13,A09204,56293.1,9006.9,65300.0,有效发票
205879,E84,897762,2018/8/14,A00327,3880.76,232.84,4113.6,作废发票
205880,E84,897774,2018/8/14,A00327,3880.76,232.84,4113.6,有效发票
205881,E84,95120061,2018/12/17,A03626,264.15,15.85,280.0,有效发票
205882,E84,95122401,2018/12/17,A03626,264.15,15.85,280.0,有效发票
205883,E84,18998111,2019/2/23,A02855,90517.24,14482.76,105000.0,有效发票
205884,E84,5393331,2019/3/18,A07313,43103.45,6896.55,50000.0,有效发票
205885,E84,7792026,2019/7/24,A09097,10485.44,314.56,10800.0,有效发票
205886,E84,4987433,2019/8/15,A00327,3314.64,198.87,3513.51,有效发票
205887,E84,4315091,2019/10/22,A06813,44238.94,5751.06,49990.0,有效发票
205888,E84,15790469,2019/11/20,A02855,44247.79,5752.21,50000.0,有效发票
205889,E84,54160125,2019/12/4,A03626,264.15,15.85,280.0,有效发票
205890,E84,9579683,2019/12/13,A02855,60116.81,7815.19,67932.0,有效发票
205891,E84,13397355,2020/1/18,A07070,9823.01,1276.99,11100.0,有效发票
205892,E84,13397356,2020/1/18,A07070,9823.01,1276.99,11100.0,有效发票
205893,E84,13397357,2020/1/18,A07070,9823.01,1276.99,11100.0,有效发票
205894,E84,13397358,2020/1/18,A07070,9823.01,1276.99,11100.0,有效发票
205895,E84,13397359,2020/1/18,A07070,9823.01,1276.99,11100.0,有效发票
205896,E84,13397360,2020/1/18,A07070,9823.01,1276.99,11100.0,有效发票
205897,E84,13397361,2020/1/18,A07070,9823.01,1276.99,11100.0,有效发票
205898,E84,13397362,2020/1/18,A07070,9823.01,1276.99,11100.0,有效发票
205899,E84,13397363,2020/1/18,A07070,9911.5,1288.5,11200.0,有效发票
205900,E84,16080969,2020/1/21,A07313,88274.34,11475.66,99750.0,有效发票
